query_id,measure,value,sistema
Q013,MRR,1.0,BM25-Lyric
Q013,P@10,0.2,BM25-Lyric
Q013,nDCG@10,1.0,BM25-Lyric
Q014,MAP,0.6666666666666666,BM25-Lyric
Q014,Bpref,0.5,BM25-Lyric
Q014,MRR,1.0,BM25-Lyric
Q014,P@10,0.2,BM25-Lyric
Q014,nDCG@10,0.6508780296742857,BM25-Lyric
Q015,MAP,1.0,BM25-Lyric
Q015,Bpref,1.0,BM25-Lyric
Q015,MRR,1.0,BM25-Lyric
Q015,P@10,0.2,BM25-Lyric
Q015,nDCG@10,1.0,BM25-Lyric
Q016,MAP,0.06666666666666667,BM25-Lyric
Q016,Bpref,0.06666666666666667,BM25-Lyric
Q016,MRR,1.0,BM25-Lyric
Q016,P@10,0.1,BM25-Lyric
Q016,nDCG@10,0.3607790370815594,BM25-Lyric
Q017,MAP,0.16548323471400395,BM25-Lyric
Q017,Bpref,0.2544378698224852,BM25-Lyric
Q017,MRR,0.3333333333333333,BM25-Lyric
Q017,P@10,0.3,BM25-Lyric
Q017,nDCG@10,0.30745267951442545,BM25-Lyric
Q018,MAP,0.05,BM25-Lyric
Q018,Bpref,0.10222222222222221,BM25-Lyric
Q018,MRR,0.5,BM25-Lyric
Q018,P@10,0.2,BM25-Lyric
Q018,nDCG@10,0.17071967171971203,BM25-Lyric
Q019,MAP,0.011904761904761904,BM25-Lyric
Q019,Bpref,0.041666666666666664,BM25-Lyric
Q019,MRR,0.14285714285714285,BM25-Lyric
Q019,P@10,0.1,BM25-Lyric
Q019,nDCG@10,0.12025967902718647,BM25-Lyric
Q020,MAP,0.06944444444444443,BM25-Lyric
Q020,Bpref,0.1388888888888889,BM25-Lyric
Q020,MRR,0.3333333333333333,BM25-Lyric
Q020,P@10,0.2,BM25-Lyric
Q020,nDCG@10,0.24557383318570894,BM25-Lyric
Q021,MAP,0.6201506826506826,BM25-Lyric
Q021,Bpref,0.618881118881119,BM25-Lyric
Q021,MRR,1.0,BM25-Lyric
Q021,P@10,1.0,BM25-Lyric
Q021,nDCG@10,1.0,BM25-Lyric
Q022,MAP,0.2789841737210158,BM25-Lyric
Q022,Bpref,0.26627218934911245,BM25-Lyric
Q022,MRR,1.0,BM25-Lyric
Q022,P@10,0.3,BM25-Lyric
Q022,nDCG@10,0.4982105067707856,BM25-Lyric
Q023,MAP,0.05909090909090909,BM25-Lyric
Q023,Bpref,0.1322314049586777,BM25-Lyric
Q023,MRR,0.25,BM25-Lyric
Q023,P@10,0.2,BM25-Lyric
Q023,nDCG@10,0.2172579202440356,BM25-Lyric
Q024,MAP,0.0,BM25-Lyric
Q024,Bpref,0.0,BM25-Lyric
Q024,MRR,0.0,BM25-Lyric
Q024,P@10,0.0,BM25-Lyric
Q024,nDCG@10,0.0,BM25-Lyric
Q025,MAP,0.03888888888888888,BM25-Lyric
Q025,Bpref,0.08,BM25-Lyric
Q025,MRR,0.16666666666666666,BM25-Lyric
Q025,P@10,0.2,BM25-Lyric
Q025,nDCG@10,0.18281474195052166,BM25-Lyric
Q026,MAP,0.08451072736787021,BM25-Lyric
Q026,Bpref,0.12755102040816327,BM25-Lyric
Q026,MRR,0.5,BM25-Lyric
Q026,P@10,0.1,BM25-Lyric
Q026,nDCG@10,0.227626228959616,BM25-Lyric
Q027,MAP,0.0,BM25-Lyric
Q027,Bpref,0.0,BM25-Lyric
Q027,MRR,0.0,BM25-Lyric
Q027,P@10,0.0,BM25-Lyric
Q027,nDCG@10,0.0,BM25-Lyric
Q028,MAP,0.0,BM25-Lyric
Q028,Bpref,0.0,BM25-Lyric
Q028,MRR,0.0,BM25-Lyric
Q028,P@10,0.0,BM25-Lyric
Q028,nDCG@10,0.0,BM25-Lyric
Q029,MAP,0.08317384370015947,BM25-Lyric
Q029,Bpref,0.14705882352941177,BM25-Lyric
Q029,MRR,0.3333333333333333,BM25-Lyric
Q029,P@10,0.4,BM25-Lyric
Q029,nDCG@10,0.3347092591719316,BM25-Lyric
Q030,MAP,0.062004662004662,BM25-Lyric
Q030,Bpref,0.1242603550295858,BM25-Lyric
Q030,MRR,0.3333333333333333,BM25-Lyric
Q030,P@10,0.2,BM25-Lyric
Q030,nDCG@10,0.1736666713479918,BM25-Lyric
Q031,MAP,0.03855092276144908,BM25-Lyric
Q031,Bpref,0.07653061224489796,BM25-Lyric
Q031,MRR,0.2,BM25-Lyric
Q031,P@10,0.1,BM25-Lyric
Q031,nDCG@10,0.08514311764162098,BM25-Lyric
Q032,MAP,0.2621609142853236,BM25-Lyric
Q032,Bpref,0.05263157894736842,BM25-Lyric
Q032,MRR,1.0,BM25-Lyric
Q032,P@10,0.1,BM25-Lyric
Q032,nDCG@10,0.22009176629808017,BM25-Lyric
Q033,MAP,0.0,BM25-Lyric
Q033,Bpref,0.0,BM25-Lyric
Q033,MRR,0.0,BM25-Lyric
Q033,P@10,0.0,BM25-Lyric
Q033,nDCG@10,0.0,BM25-Lyric
Q034,MAP,0.08333333333333333,BM25-Lyric
Q034,Bpref,0.08333333333333333,BM25-Lyric
Q034,MRR,1.0,BM25-Lyric
Q034,P@10,0.1,BM25-Lyric
Q034,nDCG@10,0.22009176629808017,BM25-Lyric
Q035,MAP,0.10489510489510488,BM25-Lyric
Q035,Bpref,0.09090909090909091,BM25-Lyric
Q035,MRR,1.0,BM25-Lyric
Q035,P@10,0.1,BM25-Lyric
Q035,nDCG@10,0.22009176629808017,BM25-Lyric
Q036,MAP,0.0,BM25-Lyric
Q036,Bpref,0.0,BM25-Lyric
Q036,MRR,0.0,BM25-Lyric
Q036,P@10,0.0,BM25-Lyric
Q036,nDCG@10,0.0,BM25-Lyric
Q037,MAP,0.0,BM25-Lyric
Q037,Bpref,0.0,BM25-Lyric
Q037,MRR,0.0,BM25-Lyric
Q037,P@10,0.0,BM25-Lyric
Q037,nDCG@10,0.0,BM25-Lyric
Q038,MAP,0.7692307692307693,BM25-Lyric
Q038,Bpref,0.7692307692307693,BM25-Lyric
Q038,MRR,1.0,BM25-Lyric
Q038,P@10,1.0,BM25-Lyric
Q038,nDCG@10,1.0,BM25-Lyric
Q039,MAP,0.5520632210926331,BM25-Lyric
Q039,Bpref,0.33,BM25-Lyric
Q039,MRR,1.0,BM25-Lyric
Q039,P@10,0.7,BM25-Lyric
Q039,nDCG@10,0.751751498020136,BM25-Lyric
Q040,MAP,0.6666666666666666,BM25-Lyric
Q040,Bpref,0.6666666666666666,BM25-Lyric
Q040,MRR,1.0,BM25-Lyric
Q040,P@10,1.0,BM25-Lyric
Q040,nDCG@10,1.0,BM25-Lyric
Q041,MAP,0.32480500548330554,BM25-Lyric
Q041,Bpref,0.06060606060606061,BM25-Lyric
Q041,MRR,0.5,BM25-Lyric
Q041,P@10,0.6,BM25-Lyric
Q041,nDCG@10,0.5305455297539706,BM25-Lyric
Q042,MAP,0.625,BM25-Lyric
Q042,Bpref,0.625,BM25-Lyric
Q042,MRR,1.0,BM25-Lyric
Q042,P@10,1.0,BM25-Lyric
Q042,nDCG@10,1.0,BM25-Lyric
Q043,MAP,0.6341758912837343,BM25-Lyric
Q043,Bpref,0.4444444444444444,BM25-Lyric
Q043,MRR,1.0,BM25-Lyric
Q043,P@10,0.9,BM25-Lyric
Q043,nDCG@10,0.9305687780632227,BM25-Lyric
Q044,MAP,0.7497965619047274,BM25-Lyric
Q044,Bpref,0.25,BM25-Lyric
Q044,MRR,1.0,BM25-Lyric
Q044,P@10,0.9,BM25-Lyric
Q044,nDCG@10,0.9266360779006401,BM25-Lyric
Q045,MAP,0.1111111111111111,BM25-Lyric
Q045,Bpref,0.1111111111111111,BM25-Lyric
Q045,MRR,1.0,BM25-Lyric
Q045,P@10,0.1,BM25-Lyric
Q045,nDCG@10,0.23504554941448536,BM25-Lyric
Q046,MAP,0.05,BM25-Lyric
Q046,Bpref,0.0,BM25-Lyric
Q046,MRR,0.05,BM25-Lyric
Q046,P@10,0.0,BM25-Lyric
Q046,nDCG@10,0.0,BM25-Lyric
Q047,MAP,0.28035714285714286,BM25-Lyric
Q047,Bpref,0.0625,BM25-Lyric
Q047,MRR,0.25,BM25-Lyric
Q047,P@10,0.3,BM25-Lyric
Q047,nDCG@10,0.3872286933712847,BM25-Lyric
Q048,MAP,0.05,BM25-Lyric
Q048,Bpref,0.09,BM25-Lyric
Q048,MRR,0.5,BM25-Lyric
Q048,P@10,0.1,BM25-Lyric
Q048,nDCG@10,0.14850605680246012,BM25-Lyric
Q049,MAP,0.4715789473684211,BM25-Lyric
Q049,Bpref,0.4,BM25-Lyric
Q049,MRR,1.0,BM25-Lyric
Q049,P@10,0.2,BM25-Lyric
Q049,nDCG@10,0.5531464700081437,BM25-Lyric
Q050,MAP,0.0625,BM25-Lyric
Q050,Bpref,0.0,BM25-Lyric
Q050,MRR,0.125,BM25-Lyric
Q050,P@10,0.1,BM25-Lyric
Q050,nDCG@10,0.19342640361727081,BM25-Lyric
