qid,BM25,TF-IDF,Dense,intent,query,media,max_diff,melhor_sys
Q040,1.0,1.0,0.1478294909154526,genre,samba pagode,0.7159431636384842,0.8521705090845474,BM25
Q041,0.8236998933965709,0.477504403208069,0.0,genre,funk carioca baile,0.43373476553487994,0.8236998933965709,BM25
Q042,1.0,1.0,0.0,genre,gospel louvor adoração,0.6666666666666666,1.0,BM25
Q043,0.9652843890316114,0.9668728882728055,0.20483424751859086,genre,rap nacional hip hop brasileiro,0.712330508274336,0.7620386407542146,TF-IDF
Q044,1.0,1.0,0.06943122193677727,genre,sertanejo universitário,0.6898104073122591,0.9305687780632227,BM25
Q045,0.23504554941448536,0.23504554941448536,0.42332408484280865,album,album Tribalistas,0.29780506122392647,0.1882785354283233,Dense
Q046,0.0,0.0,0.0,album,Nada Como um Dia Após o Outro Dia Racionais,0.0,0.0,BM25
Q047,0.5002568061719743,0.43958542078714635,0.42620876477116804,album,Escândalo Íntimo Luísa Sonza,0.45535033057676294,0.07404804140080629,BM25
Q048,0.2874005290571308,0.24447670379354147,0.0,album,Caetano e Bethânia ao vivo album,0.17729241095022408,0.2874005290571308,BM25
Q049,0.5531464700081437,0.4412576003965278,0.0,album,Acústico Engenheiros do Hawaii,0.33146802346822385,0.5531464700081437,BM25
Q050,0.0,0.0,0.0,album,Grandes Sucessos Raça Negra pagode,0.0,0.0,BM25
